FISH,FINALWEIGHT,FINALVALUE
Amberjacks,"192,994","$198,868 "
Anglerfish (Monkfish Including Monklivers),"76,392","$85,364 "
"Blue Crabs, Hard","25,242,795","$29,954,723 "
"Blue Crabs, Peeler","621,040","$1,935,462 "
"Blue Crabs, Soft","367,277","$2,137,335 "
Bluefish,"2,019,279","$889,710 "
Bonito,"9,081","$14,386 "
Butterfish,"53,607","$27,287 "
Calico Scallop,"<250,000","<$250,000"
Carp,"16,456","$1,557 "
Catfishes,"521,540","$158,480 "
"Clams, Hard (Meats)","430,816","$2,866,096 "
"Clams, Hard (Numbers)","22,440,617",
Cobia,"41,798","$87,931 "
"Croaker,Atlantic","2,629,908","$1,865,595 "
"Cutlassfish,Atlantic","165,375","$221,870 "
"Dogfish, Smooth","498,904","$213,763 "
"Dogfish, Spiny","5,650,285","$566,615 "
Dolphinfish,"422,496","$1,237,458 "
"Drum, Black","51,217","$32,298 "
"Drum, Red","90,650","$208,295 "
"Eel, American","60,755","$164,797 "
"Flounder, Southern","1,673,511","$4,839,672 "
"Flounder, Summer","2,911,750","$8,225,282 "
"Flounders, Other","4,413","$8,926 "
Garfish,"10,803","$3,673 "
"Grouper, Gag","168,036","$739,793 "
"Grouper, Red","53,096","$202,112 "
"Grouper, Scamp","42,207","$187,776 "
"Grouper, Snowy","27,553","$102,830 "
"Groupers, Other","9,125","$33,799 "
Grunts,"39,312","$40,117 "
Hakes,652,$293 
Harvestfish (Starbutters),"155,357","$187,901 "
"Herring, River (Alewife and Blueback)","1,139","$1,519 "
Hogfish (Hog Snapper),"9,767","$37,920 "
"Jacks (Crevalle, Rainbowrunner, Bluerunner)","9,158","$6,225 "
"Mackerel, Atlantic (Boston)","1,761",$658 
"Mackerel, King","549,981","$1,203,503 "
"Mackerel, Spanish","673,974","$1,230,410 "
"Menhaden,Atlantic","917,905","$145,659 "
"Mullet, Sea (Kingfishes)","955,087","$1,007,513 "
"Mullet, Striped","1,828,351","$1,112,465 "
Octopus,217,$276 
Oysters (Bushels),"137,576",
Oysters (Meats),"727,775","$4,544,236 "
"Perch, White","172,486","$148,698 "
"Perch, Yellow","67,454","$82,336 "
Pigfish,"38,572","$15,334 "
Pinfish,"1,431",$561 
Pompano,"12,923","$31,176 "
Porgies,"82,809","$145,061 "
Pufferfish,"1,611",$886 
"Scallop,Sea (Meats)","92,976","$1,011,221 "
Scup,"160,508","$110,203 "
Sea Basses,"529,075","$1,413,708 "
"Seatrout, Spotted","242,245","$579,343 "
"Shad, American","191,302","$159,657 "
"Shad, Gizzard","114,999","$5,750 "
"Shad, Hickory","110,280","$27,575 "
Sharks,"1,005,858","$473,375 "
Sheepshead,"173,376","$159,274 "
Shrimp (Heads On),"4,690,933","$14,145,407 "
Skates,"18,907","$6,137 "
Skippers,"19,884","$5,207 "
"Snapper, Red","4,826","$23,007 "
"Snapper, Vermilion (Beeliner)","242,259","$829,916 "
"Snappers, Other","4,002","$11,695 "
Spadefish,"22,761","$10,652 "
Spot,"766,224","$619,643 "
Squid,"16,156","$13,493 "
Stone Crabs,"7,451","$19,882 "
Striped Bass,"96,233","$283,241 "
Swordfish,"694,911","$2,109,549 "
"Tilefish, Blueline","71,768","$176,807 "
"Tilefish, Other","19,306","$62,001 "
Triggerfish,"116,782","$262,199 "
"Tuna, Bigeye","337,269","$1,222,610 "
"Tuna, Bluefin","114,037","$375,975 "
"Tuna, Yellowfin","821,520","$1,811,675 "
"Tunas, Other","155,033","$115,186 "
"Tunny, Little (False Albacore)","225,797","$107,605 "
Unclassified Fish For Industrial/Bait,"59,544","$12,104 "
Unclassified Fish for Food,"88,477","$130,276 "
Unclassified Shellfish,"268,180","$336,723 "
Wahoo,"22,783","$71,829 "
Weakfish (Grey Trout),"105,247","$140,574 "
Whelks/Conchs (Meats),"53,627","$112,275 "
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
