FISH,FINALWEIGHT,FINALVALUE
Amberjacks,"141,824","$162,910 "
Anglerfish (Monkfish Including Monklivers),"45,166","$35,652 "
"Blue Crabs, Hard","16,412,935","$17,298,279 "
"Blue Crabs, Peeler","368,259","$857,909 "
"Blue Crabs, Soft","234,503","$1,501,315 "
Bluefish,"910,262","$675,209 "
Bonito,"13,848","$25,228 "
Butterfish,"48,234","$23,488 "
Carp,"22,593","$3,219 "
Catfishes,"1,137,401","$290,388 "
"Clams, Hard (Meats)","199,955","$1,628,664 "
"Clams, Hard (Numbers)","10,522,001",
Cobia,"20,629","$57,210 "
"Croaker,Atlantic","1,643,646","$1,631,506 "
"Cutlassfish,Atlantic","152,713","$270,276 "
"Dogfish, Smooth","209,760","$96,475 "
"Dogfish, Spiny","1,168,247","$160,807 "
Dolphinfish,"144,660","$494,055 "
"Drum, Black","109,781","$117,145 "
"Drum, Red","144,640","$386,724 "
"Eel, American","18,058","$29,344 "
"Flounder, Southern","903,842","$3,823,767 "
"Flounder, Summer","1,654,569","$6,893,316 "
"Flounders, Other",<100,<$100
Garfish,"14,057","$2,928 "
"Grouper, Gag","98,105","$474,147 "
"Grouper, Red","14,667","$63,541 "
"Grouper, Scamp","40,724","$196,932 "
"Grouper, Snowy","76,135","$334,590 "
"Groupers, Other","9,557","$42,878 "
Grunts,"36,820","$39,736 "
Hakes,"5,034","$4,385 "
Harvestfish (Starbutters),"100,340","$152,303 "
Hogfish (Hog Snapper),"13,755","$60,617 "
"Jacks (Crevalle, Rainbowrunner, Bluerunner)","9,407","$8,237 "
"Mackerel, Atlantic (Boston)","1,453",$616 
"Mackerel, King","506,933","$1,146,962 "
"Mackerel, Spanish","796,890","$1,237,371 "
"Menhaden,Atlantic","713,978","$176,162 "
"Mullet, Sea (Kingfishes)","407,173","$504,795 "
"Mullet, Striped","1,314,385","$955,365 "
Octopus,253,$446 
Oysters (Bushels),"118,200",
Oysters (Meats),"625,278","$3,834,874 "
"Perch, White","131,920","$108,241 "
"Perch, Yellow","12,725","$14,568 "
Pigfish,"6,572","$3,793 "
Pinfish,938,$364 
Pompano,"15,669","$43,265 "
Porgies,"59,007","$114,546 "
Pufferfish,"2,040",$667 
"Scallop,Sea (Meats)","80,117","$685,229 "
Scup,"78,944","$58,243 "
Sea Basses,"497,056","$1,518,224 "
"Seatrout, Spotted","128,980","$346,688 "
"Shad, American","52,113","$79,812 "
"Shad, Gizzard","262,405","$14,046 "
"Shad, Hickory","75,481","$26,399 "
Sharks,"817,498","$355,357 "
Sheepshead,"90,406","$123,865 "
Shrimp (Heads On),"9,729,752","$20,047,635 "
Skates,"47,639","$8,435 "
Skippers,"13,530","$4,210 "
"Snapper, Red","11,317","$56,234 "
"Snapper, Vermilion (Beeliner)","297,669","$1,063,669 "
"Snappers, Other","14,291","$52,560 "
Spadefish,"9,838","$5,640 "
Spot,"167,696","$239,186 "
Squid,"35,684","$30,723 "
Stone Crabs,"6,900","$18,938 "
Striped Bass,"136,047","$439,145 "
Swordfish,"425,501","$931,382 "
"Tilefish, Blueline","54,426","$191,196 "
"Tilefish, Other","14,083","$59,301 "
Triggerfish,"174,047","$479,815 "
"Tuna, Bigeye","328,429","$1,295,179 "
"Tuna, Bluefin","224,486","$1,042,249 "
"Tuna, Yellowfin","682,401","$1,786,625 "
"Tunas, Other","55,393","$58,076 "
"Tunny, Little (False Albacore)","204,177","$127,204 "
Unclassified Fish For Industrial/Bait,"95,163","$29,575 "
Unclassified Fish for Food,"69,956","$197,647 "
Unclassified Shellfish,"51,342","$82,281 "
Wahoo,"22,619","$81,777 "
Weakfish (Grey Trout),"35,142","$55,755 "
Whelks/Conchs (Meats),"56,154","$266,132 "
,,
,,
