FISH,FINALWEIGHT,FINALVALUE
Amberjacks,"146,544","$162,064 "
Anglerfish (Monkfish Including Monklivers),"112,863","$106,081 "
"Blue Crabs, Hard","31,019,406","$29,607,419 "
"Blue Crabs, Peeler","704,354","$2,099,220 "
"Blue Crabs, Soft","375,874","$2,221,331 "
Bluefish,"804,847","$445,591 "
Bonito,"20,989","$32,905 "
Butterfish,"62,658","$28,237 "
Carp,"37,791","$3,071 "
Catfishes,"918,085","$262,863 "
"Clams, Hard (Meats)","415,027","$5,038,973 "
"Clams, Hard (Numbers)","21,126,582",.
Cobia,"52,684","$113,176 "
"Croaker,Atlantic","1,819,020","$1,646,361 "
"Cutlassfish,Atlantic","178,077","$309,752 "
"Dogfish, Smooth","268,429","$98,113 "
"Dogfish, Spiny","4,247,213","$532,180 "
Dolphinfish,"320,961","$973,324 "
"Drum, Black","51,097","$43,153 "
"Drum, Red","80,388","$196,131 "
"Eel, American","57,791","$142,826 "
"Flounder, Southern","1,202,952","$3,823,788 "
"Flounder, Summer","2,878,743","$9,092,495 "
"Flounders, Other","7,638","$26,179 "
Garfish,"37,651","$5,648 "
"Grouper, Gag","127,194","$580,929 "
"Grouper, Red","35,258","$138,669 "
"Grouper, Scamp","36,391","$161,478 "
"Grouper, Snowy","47,121","$184,206 "
"Groupers, Other","15,234","$57,065 "
Grunts,"32,684","$33,221 "
Hakes,"1,407",$685 
Harvestfish (Starbutters),"164,129","$221,708 "
Hogfish (Hog Snapper),"8,238","$33,500 "
"Jacks (Crevalle, Rainbowrunner, Bluerunner)","7,607","$4,692 "
"Mackerel, Atlantic (Boston)","1,861",$796 
"Mackerel, King","391,751","$801,671 "
"Mackerel, Spanish","561,714","$1,034,838 "
"Menhaden,Atlantic","898,322","$152,435 "
"Mullet, Sea (Kingfishes)","784,753","$858,531 "
"Mullet, Striped","1,247,129","$804,735 "
Octopus,209,$388 
Oysters (Bushels),"122,579",.
Oysters (Meats),"648,444","$3,936,572 "
"Perch, White","161,596","$124,499 "
"Perch, Yellow","41,655","$54,013 "
Pigfish,"20,785","$7,516 "
Pinfish,845,$304 
Pompano,"22,087","$39,976 "
Porgies,"54,464","$92,779 "
Pufferfish,"9,578","$5,861 "
"Scallop,Sea (Meats)","198,393","$2,213,074 "
Scup,"229,696","$130,029 "
Sea Basses,"467,953","$1,366,822 "
"Seatrout, Spotted","128,768","$318,321 "
"Shad, American","95,926","$91,619 "
"Shad, Gizzard","97,978","$4,899 "
"Shad, Hickory","149,336","$43,119 "
Sharks,"795,831","$338,283 "
Sheepshead,"124,850","$139,254 "
Shrimp (Heads On),"9,125,126","$16,894,967 "
Skates,"44,848","$8,349 "
Skippers,"16,736","$4,636 "
"Snapper, Vermilion (Beeliner)","225,481","$781,211 "
"Snappers, Other","6,549","$22,776 "
Spadefish,"15,997","$8,177 "
Spot,"377,028","$321,914 "
Squid,"25,574","$22,280 "
Stone Crabs,"8,158","$22,925 "
Striped Bass,"141,824","$450,208 "
Swordfish,"593,258","$1,277,355 "
"Tilefish, Blueline","27,181","$69,502 "
"Tilefish, Other","18,173","$65,726 "
Triggerfish,"131,536","$331,805 "
"Tuna, Bigeye","369,347","$1,277,767 "
"Tuna, Bluefin","118,159","$200,380 "
"Tuna, Yellowfin","515,014","$1,191,039 "
"Tunas, Other","152,716","$128,529 "
"Tunny, Little (False Albacore)","164,964","$85,493 "
Unclassified Fish For Industrial/Bait,"164,667","$28,782 "
Unclassified Fish for Food,"90,331","$98,386 "
Unclassified Shellfish,"91,124","$177,869 "
Wahoo,"18,380","$65,475 "
Weakfish (Grey Trout),"80,272","$115,898 "
Whelks/Conchs (Meats),"65,221","$137,526 "
,,
