FISH,FINALWEIGHT,FINALVALUE
Amberjacks,"150,952","$153,252 "
Anglerfish (Monkfish Including Monklivers),"37,439","$24,430 "
"Blue Crabs, Hard","13,109,518","$19,093,957 "
"Blue Crabs, Peeler","314,723","$807,743 "
"Blue Crabs, Soft","124,170","$765,587 "
Bluefish,"1,112,966","$668,583 "
Bonito,"15,926","$12,835 "
Butterfish,"29,872","$15,332 "
Carp,"9,642",$875 
Catfishes,"1,227,613","$296,501 "
"Clams, Hard (Meats)","71,052","$901,974 "
"Clams, Hard (Numbers)","3,709,724",.
Cobia,"38,344","$90,006 "
"Croaker,Atlantic","570,423","$673,426 "
"Cutlassfish,Atlantic","499,065","$865,575 "
"Dogfish, Smooth","49,286","$27,608 "
"Dogfish, Spiny","1,501,331","$208,481 "
Dolphinfish,"51,994","$178,383 "
"Drum, Black","98,143","$125,320 "
"Drum, Red","165,666","$434,984 "
"Eel, American","3,291","$9,773 "
"Flounder, Southern","479,905","$1,057,536 "
"Flounder, Summer","1,779,865","$3,753,777 "
"Flounders, Other",435,$576 
Garfish,"18,958","$4,740 "
"Grouper, Gag","95,058","$592,767 "
"Grouper, Red","6,397","$34,579 "
"Grouper, Scamp","16,301","$98,845 "
"Grouper, Snowy","66,678","$308,564 "
"Groupers, Other","14,843","$74,230 "
Grunts,"35,002","$36,970 "
Hakes,"2,063","$1,565 "
Harvestfish (Starbutters),"47,134","$93,968 "
Hogfish (Hog Snapper),"11,640","$52,353 "
"Jacks (Crevalle, Rainbowrunner, Bluerunner)","15,733","$12,446 "
"Mackerel, Atlantic (Boston)",823,$316 
"Mackerel, King","611,476","$1,469,914 "
"Mackerel, Spanish","1,033,526","$1,479,165 "
"Menhaden,Atlantic","599,742","$122,683 "
"Mullet, Sea (Kingfishes)","640,759","$1,445,430 "
"Mullet, Striped","1,299,500","$651,112 "
Octopus,130,$219 
Oysters (Bushels),"156,731",
Oysters (Meats),"829,106","$4,553,647 "
"Perch, White","215,748","$240,953 "
"Perch, Yellow","6,237","$9,487 "
Pigfish,"17,807","$11,178 "
Pinfish,"1,430",$250 
Pompano,"12,210","$45,378 "
Porgies,"31,789","$73,562 "
Pufferfish,"1,574",$506 
"Scallop,Bay (Meats)",<500,"<$100,000"
"Scallop,Sea (Meats)","187,324","$1,842,972 "
Scup,"38,772","$20,825 "
Sea Basses,"272,422","$745,088 "
"Seatrout, Spotted","568,763","$1,269,024 "
"Shad, American","134,590","$82,957 "
"Shad, Gizzard","313,562","$31,356 "
"Shad, Hickory","68,876","$19,064 "
Sharks,"704,498","$325,134 "
Sheepshead,"76,630","$105,114 "
Shrimp (Heads On),"9,742,575","$22,406,741 "
Skates,"46,672","$9,078 "
Skippers,"9,993","$5,160 "
"Snapper, Red","11,981","$63,311 "
"Snapper, Vermilion (Beeliner)","239,809","$879,731 "
"Snappers, Other","25,385","$96,668 "
Spadefish,"15,007","$7,919 "
Spot,"542,870","$805,387 "
Squid,"22,664","$23,497 "
Stone Crabs,"5,845","$17,208 "
Striped Bass,"123,933","$337,124 "
Swordfish,"409,267","$1,320,775 "
"Tilefish, Blueline","87,872","$308,103 "
"Tilefish, Other","27,491","$110,029 "
Triggerfish,"126,655","$366,786 "
"Tuna, Bigeye","407,636","$1,610,175 "
"Tuna, Bluefin","435,317","$847,238 "
"Tuna, Yellowfin","713,622","$1,398,583 "
"Tunas, Other","32,293","$30,172 "
"Tunny, Little (False Albacore)","230,685","$193,782 "
Unclassified Fish For Industrial/Bait,"51,845","$13,115 "
Unclassified Fish for Food,"53,011","$209,280 "
Unclassified Shellfish,"58,198","$237,838 "
Wahoo,"12,079","$40,809 "
Weakfish (Grey Trout),"87,645","$114,634 "
Whelks/Conchs (Meats),"20,431","$54,302 "
,,
