FISH,FINALWEIGHT,FINALVALUE
"Blue Crabs, Hard","13,479,254","$1,345,159 "
"Blue Crabs, Soft and Peeler","49,809","$29,186 "
Bluefish,"1,167,721","$98,854 "
Butterfish,"87,600","$6,748 "
Calico Scallop,"1,050,320","$492,899 "
Carp,"19,375",$575 
Catfishes,"2,398,012","$333,753 "
"Clams, Hard (Meats)","274,153","$162,655 "
Cobia,"3,219",$166 
"Croaker,Atlantic","4,108,859","$227,052 "
"Drum, Black","38,876","$1,823 "
"Drum, Red","42,919","$5,228 "
"Eel, American","77,389","$12,177 "
"Flounder, Southern","785,348","$277,446 "
"Flounder, Summer","3,870,149","$1,110,605 "
Grunts,"1,517",$124 
Harvestfish (Starbutters),"50,882","$7,575 "
"Herring, River (Alewife and Blueback)","11,237,143","$196,145 "
"Mackerel, King","8,920","$2,671 "
"Mackerel, Spanish","96,251","$12,999 "
"Menhaden,Atlantic","84,692,020","$1,219,329 "
"Mullet, Sea (Kingfishes)","683,048","$82,740 "
"Mullet, Striped","1,176,918","$97,932 "
Octopus,"2,207",$329 
Oysters (Meats),"470,112","$344,217 "
"Perch, White","201,855","$26,923 "
"Perch, Yellow","24,885","$3,327 "
Pigfish,"171,785","$13,607 "
Pompano,"7,012","$2,713 "
Porgies,"39,188","$9,364 "
Pufferfish,"55,878","$5,723 "
"Scallop,Bay (Meats)","128,288","$110,339 "
Sea Basses,"635,210","$204,518 "
"Seatrout, Spotted","502,792","$153,421 "
"Shad, American","468,484","$111,609 "
"Shad, Hickory","69,190","$3,725 "
Sheepshead,"4,134",$223 
Shrimp (Heads On),"5,563,261","$3,549,492 "
"Snappers, Other",121,$36 
Spadefish,634,$33 
Spot,"3,902,144","$378,138 "
Squid,"14,995","$1,085 "
Striped Bass,"1,261,060","$358,312 "
Unclassified Fish For Industrial/Bait,"21,423,920","$366,150 "
Unclassified Fish for Food,"160,230","$31,443 "
Unclassified Shellfish,"22,144","$2,899 "
Weakfish (Grey Trout),"7,372,329","$397,372 "
