FISH,FINALWEIGHT,FINALVALUE
Amberjacks,"104,411","$109,992 "
Anglerfish (Monkfish Including Monklivers),"43,771","$34,985 "
"Blue Crabs, Hard","22,377,971","$22,221,353 "
"Blue Crabs, Peeler","465,091","$1,237,065 "
"Blue Crabs, Soft","183,946","$1,199,842 "
Bluefish,"1,108,205","$559,833 "
Bonito,"14,045","$15,556 "
Butterfish,"38,371","$14,087 "
Carp,"49,440","$7,530 "
Catfishes,"1,239,152","$267,301 "
"Clams, Hard (Meats)","118,194","$1,117,239 "
"Clams, Hard (Numbers)","6,155,984",
Cobia,"21,553","$58,500 "
"Croaker,Atlantic","1,278,340","$1,566,030 "
"Cutlassfish,Atlantic","277,299","$491,810 "
"Dogfish, Smooth","102,592","$56,826 "
"Dogfish, Spiny","1,124,291","$137,241 "
Dolphinfish,"208,385","$675,935 "
"Drum, Black","80,049","$92,318 "
"Drum, Red","56,419","$163,458 "
"Eel, American","9,139","$37,972 "
"Flounder, Southern","800,080","$3,078,601 "
"Flounder, Summer","2,025,401","$7,292,375 "
"Flounders, Other",<500,"<$5,000"
Garfish,"29,364","$2,028 "
"Grouper, Gag","153,175","$759,664 "
"Grouper, Red","17,786","$82,972 "
"Grouper, Scamp","26,535","$135,953 "
"Grouper, Snowy","84,535","$395,412 "
"Groupers, Other","20,817","$101,204 "
Grunts,"44,752","$48,788 "
Hakes,"2,924","$2,137 "
Harvestfish (Starbutters),"73,799","$129,268 "
Hogfish (Hog Snapper),"14,486","$66,895 "
"Jacks (Crevalle, Rainbowrunner, Bluerunner)","7,974","$5,858 "
"Mackerel, Atlantic (Boston)",810,$330 
"Mackerel, King","698,252","$1,570,680 "
"Mackerel, Spanish","722,398","$998,881 "
"Menhaden,Atlantic","551,849","$135,682 "
"Mullet, Sea (Kingfishes)","702,696","$995,772 "
"Mullet, Striped","1,362,227","$929,291 "
Octopus,288,$478 
Oysters (Bushels),"157,412",
Oysters (Meats),"832,708","$4,889,462 "
"Perch, White","100,991","$90,500 "
"Perch, Yellow","6,339","$7,757 "
Pigfish,"22,569","$11,534 "
Pinfish,"1,372",$266 
Pompano,"25,223","$75,128 "
Porgies,"48,991","$90,608 "
Pufferfish,"5,310","$1,748 "
"Scallop,Bay (Meats)",<100,<$500
"Scallop,Sea (Meats)","167,209","$1,477,877 "
Scup,"216,776","$112,878 "
Sea Basses,"385,404","$1,157,244 "
"Seatrout, Spotted","378,500","$893,047 "
"Shad, American","40,975","$70,463 "
"Shad, Gizzard","308,315","$30,832 "
"Shad, Hickory","111,719","$32,502 "
Sharks,"881,401","$352,391 "
Sheepshead,"86,406","$130,988 "
Shrimp (Heads On),"9,620,035","$22,112,792 "
Skates,"80,039","$14,512 "
Skippers,"10,973","$3,830 "
"Snapper, Red","9,804","$52,113 "
"Snapper, Vermilion (Beeliner)","380,774","$1,393,725 "
"Snappers, Other","32,391","$121,001 "
Spadefish,"12,262","$6,974 "
Spot,"392,206","$565,357 "
Squid,"29,866","$33,814 "
Stone Crabs,"5,131","$13,940 "
Striped Bass,"137,555","$373,152 "
Swordfish,"413,055","$1,008,928 "
"Tilefish, Blueline","68,379","$242,462 "
"Tilefish, Other","21,739","$92,341 "
Triggerfish,"165,126","$467,137 "
"Tuna, Bigeye","319,903","$1,182,769 "
"Tuna, Bluefin","359,887","$821,005 "
"Tuna, Yellowfin","537,031","$1,263,969 "
"Tunas, Other","26,391","$24,474 "
"Tunny, Little (False Albacore)","232,879","$132,982 "
Unclassified Fish For Industrial/Bait,"90,918","$32,344 "
Unclassified Fish for Food,"59,982","$181,670 "
Unclassified Shellfish,"46,263","$73,900 "
Wahoo,"31,494","$108,198 "
Weakfish (Grey Trout),"115,665","$181,369 "
Whelks/Conchs (Meats),"39,569","$115,782 "
,,
